class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog//onClick/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerBackupNoSpaceLeftDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerBackupNoSpaceLeftDialog.java/DeckPickerBackupNoSpaceLeftDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerBackupNoSpaceLeftDialog.java/DeckPickerBackupNoSpaceLeftDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerBackupNoSpaceLeftDialog.java/DeckPickerBackupNoSpaceLeftDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerConfirmDeleteDeckDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerConfirmDeleteDeckDialog.java/DeckPickerConfirmDeleteDeckDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerConfirmDeleteDeckDialog.java/DeckPickerConfirmDeleteDeckDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerConfirmDeleteDeckDialog.java/DeckPickerConfirmDeleteDeckDialog/onCreateDialog/;2;2;-1;;;;
